Year,Category,Education,Salary
2009,SCI,Bachelor's,15018.333333333334
2009,SCI,Doctorate,34623.333333333336
2009,SCI,Master's/Professional,22894.666666666668
2009,TRN,Bachelor's,17563.5625
2009,TRN,Doctorate,25333.0625
2009,TRN,Master's/Professional,19167.125
2010,BUS,Bachelor's,20798.2
2010,BUS,Doctorate,33865.6
2010,BUS,Master's/Professional,29569.8
2010,CLN,Bachelor's,14304.333333333334
2010,CLN,Doctorate,18665.0
2010,CLN,Master's/Professional,14927.166666666666
2010,CMS,Bachelor's,8909.75
2010,CMS,Doctorate,22739.75
2010,CMS,Master's/Professional,13947.0
2010,CON,Bachelor's,18264.72
2010,CON,Doctorate,25139.2
2010,CON,Master's/Professional,19649.56
2010,EAT,Bachelor's,7800.272727272727
2010,EAT,Doctorate,12481.09090909091
2010,EAT,Master's/Professional,8559.545454545454
2010,EDU,Bachelor's,24370.166666666668
2010,EDU,Doctorate,21917.333333333332
2010,EDU,Master's/Professional,21235.666666666668
2010,ENG,Bachelor's,14415.0
2010,ENG,Doctorate,36525.5
2010,ENG,Master's/Professional,25100.0
2010,ENT,Bachelor's,7002.0
2010,ENT,Doctorate,17091.571428571428
2010,ENT,Master's/Professional,9558.857142857143
2010,EXT,Bachelor's,32820.75
2010,EXT,Doctorate,42060.5
2010,EXT,Master's/Professional,32693.5
2010,FFF,Bachelor's,12759.8
2010,FFF,Doctorate,15277.2
2010,FFF,Master's/Professional,10837.6
2010,FIN,Bachelor's,74649.5
2010,FIN,Doctorate,34525.5
2010,FIN,Master's/Professional,29895.0
2010,HLS,Bachelor's,10862.5
2010,HLS,Doctorate,18473.0
2010,HLS,Master's/Professional,12923.5
2010,LGL,Bachelor's,24787.5
2010,LGL,Doctorate,34842.0
2010,LGL,Master's/Professional,25211.0
2010,MED,Bachelor's,15679.0
2010,MED,Doctorate,27546.333333333332
2010,MED,Master's/Professional,18730.166666666668
2010,MGR,Bachelor's,29378.928571428572
2010,MGR,Doctorate,41367.42857142857
2010,MGR,Master's/Professional,31617.928571428572
2010,OFF,Bachelor's,14532.172413793103
2010,OFF,Doctorate,23261.310344827587
2010,OFF,Master's/Professional,15327.551724137931
2010,PRD,Bachelor's,16280.56
2010,PRD,Doctorate,24341.6
2010,PRD,Master's/Professional,18381.74
2010,PRS,Bachelor's,7266.166666666667
2010,PRS,Doctorate,13070.333333333334
2010,PRS,Master's/Professional,8703.666666666666
2010,PRT,Bachelor's,18771.25
2010,PRT,Doctorate,28471.75
2010,PRT,Master's/Professional,20412.5
2010,RPR,Bachelor's,22588.62962962963
2010,RPR,Doctorate,31187.51851851852
2010,RPR,Master's/Professional,23625.296296296296
2010,SAL,Bachelor's,15571.357142857143
2010,SAL,Doctorate,22709.928571428572
2010,SAL,Master's/Professional,15567.5
2010,SCI,Bachelor's,15394.0
2010,SCI,Doctorate,32441.0
2010,SCI,Master's/Professional,19877.5
2010,TRN,Bachelor's,17584.0
2010,TRN,Doctorate,27664.684210526317
2010,TRN,Master's/Professional,21300.42105263158
2011,BUS,Bachelor's,18933.666666666668
2011,BUS,Doctorate,39136.0
2011,BUS,Master's/Professional,42720.0
2011,CLN,Bachelor's,13050.166666666666
2011,CLN,Doctorate,19197.666666666668
2011,CLN,Master's/Professional,13718.5
2011,CMS,Bachelor's,10734.666666666666
2011,CMS,Doctorate,21239.666666666668
2011,CMS,Master's/Professional,16985.666666666668
2011,CON,Bachelor's,19966.6
2011,CON,Doctorate,26810.72
2011,CON,Master's/Professional,19940.52
2011,EAT,Bachelor's,7756.272727272727
2011,EAT,Doctorate,12390.181818181818
2011,EAT,Master's/Professional,8918.0
2011,EDU,Bachelor's,15806.8
2011,EDU,Doctorate,20160.2
2011,EDU,Master's/Professional,16375.6
2011,ENG,Bachelor's,24389.0
2011,ENG,Doctorate,40891.0
2011,ENG,Master's/Professional,31702.0
2011,ENT,Bachelor's,5088.0
2011,ENT,Doctorate,16528.666666666668
2011,ENT,Master's/Professional,10747.5
2011,EXT,Bachelor's,29108.75
2011,EXT,Doctorate,43896.0
2011,EXT,Master's/Professional,40370.5
2011,FFF,Bachelor's,15647.0
2011,FFF,Doctorate,17887.0
2011,FFF,Master's/Professional,12327.833333333334
2011,FIN,Bachelor's,49378.0
2011,FIN,Doctorate,23098.5
