date,fips_code,state,county,living_wage,poverty_wage,minimum_wage,year
20171211203443,01035,Alabama,Conecuh County,9.73,5.0,7.25,2017
20180113025434,01035,Alabama,Conecuh County,9.73,5.0,7.25,2018
20190715174434,01035,Alabama,Conecuh County,10.52,5.84,7.25,2019
20201022180750,01035,Alabama,Conecuh County,10.48,6.0,7.25,2020
20210124055749,01035,Alabama,Conecuh County,10.48,6.0,7.25,2021
20210414192940,01035,Alabama,Conecuh County,12.81,6.13,7.25,2021
20210729014939,01035,Alabama,Conecuh County,12.81,6.13,7.25,2021
20211016050333,01035,Alabama,Conecuh County,12.81,6.13,7.25,2021
20220127050144,01035,Alabama,Conecuh County,12.81,6.13,7.25,2022
20130602055152,01037,Alabama,Coosa County,8.03,5.21,7.25,2013
20150910135308,01037,Alabama,Coosa County,9.89,5.0,7.25,2015
20160311154736,01037,Alabama,Coosa County,9.89,5.0,7.25,2016
20160511121316,01037,Alabama,Coosa County,9.89,5.0,7.25,2016
20160831210459,01037,Alabama,Coosa County,9.91,5.0,7.25,2016
20161203181746,01037,Alabama,Coosa County,9.91,5.0,7.25,2016
20170608140027,01037,Alabama,Coosa County,9.87,5.0,7.25,2017
20180623024406,01037,Alabama,Coosa County,10.79,5.0,7.25,2018
20180724180721,01037,Alabama,Coosa County,10.79,5.0,7.25,2018
20180826122145,01037,Alabama,Coosa County,10.79,5.0,7.25,2018
20180927043354,01037,Alabama,Coosa County,10.79,5.0,7.25,2018
20181029101724,01037,Alabama,Coosa County,10.79,5.0,7.25,2018
20190102071807,01037,Alabama,Coosa County,10.79,5.8,7.25,2019
20190209125249,01037,Alabama,Coosa County,10.84,5.84,7.25,2019
20190323033402,01037,Alabama,Coosa County,10.84,5.84,7.25,2019
20190430003829,01037,Alabama,Coosa County,10.84,5.84,7.25,2019
20190603064555,01037,Alabama,Coosa County,10.84,5.84,7.25,2019
20190727125723,01037,Alabama,Coosa County,10.84,5.84,7.25,2019
20190909032524,01037,Alabama,Coosa County,10.84,5.84,7.25,2019
20200928090117,01037,Alabama,Coosa County,10.7,6.0,7.25,2020
20210124221834,01037,Alabama,Coosa County,10.7,6.0,7.25,2021
20210414194720,01037,Alabama,Coosa County,12.99,6.13,7.25,2021
20210729021227,01037,Alabama,Coosa County,12.99,6.13,7.25,2021
20211016052001,01037,Alabama,Coosa County,12.99,6.13,7.25,2021
20220127051654,01037,Alabama,Coosa County,12.99,6.13,7.25,2022
20130602023022,01039,Alabama,Covington County,8.11,5.21,7.25,2013
20150910082859,01039,Alabama,Covington County,9.77,5.0,7.25,2015
20160311154740,01039,Alabama,Covington County,9.77,5.0,7.25,2016
20160512100636,01039,Alabama,Covington County,9.77,5.0,7.25,2016
20160831144932,01039,Alabama,Covington County,9.78,5.0,7.25,2016
20161203142423,01039,Alabama,Covington County,9.78,5.0,7.25,2016
20170608162755,01039,Alabama,Covington County,9.73,5.0,7.25,2017
20190715174439,01039,Alabama,Covington County,10.52,5.84,7.25,2019
20200807034843,01039,Alabama,Covington County,10.55,6.0,7.25,2020
20201026212827,01039,Alabama,Covington County,10.55,6.0,7.25,2020
20210121051916,01039,Alabama,Covington County,10.55,6.0,7.25,2021
20210414225223,01039,Alabama,Covington County,12.81,6.13,7.25,2021
