datetime,fips_code,state,county,living_wage,poverty_wage,minimum_wage,year
20160310063252,01097,Alabama,Mobile County,11.01,5.0,7.25,2016
20170623203316,01097,Alabama,Mobile County,11.22,5.0,7.25,2017
20200803235931,01097,Alabama,Mobile County,11.81,6.0,7.25,2020
20210117005313,01097,Alabama,Mobile County,11.81,6.0,7.25,2021
20220128052450,01097,Alabama,Mobile County,14.37,6.13,7.25,2022
20130530015323,01099,Alabama,Monroe County,8.11,5.21,7.25,2013
20150910134419,01099,Alabama,Monroe County,9.89,5.0,7.25,2015
20160311155524,01099,Alabama,Monroe County,9.89,5.0,7.25,2016
20170608152531,01099,Alabama,Monroe County,9.9,5.0,7.25,2017
20190715175430,01099,Alabama,Monroe County,10.72,5.84,7.25,2019
20200926222212,01099,Alabama,Monroe County,10.6,6.0,7.25,2020
20210119001405,01099,Alabama,Monroe County,10.6,6.0,7.25,2021
20130602042012,01101,Alabama,Montgomery County,8.9,5.21,7.25,2013
20150910084959,01101,Alabama,Montgomery County,10.64,5.0,7.25,2015
20160129053856,01101,Alabama,Montgomery County,10.64,5.0,7.25,2016
20170608142739,01101,Alabama,Montgomery County,10.67,5.0,7.25,2017
20180316034212,01101,Alabama,Montgomery County,11.1,5.0,7.25,2018
20190112175853,01101,Alabama,Montgomery County,11.1,5.8,7.25,2019
20200810014348,01101,Alabama,Montgomery County,11.18,6.0,7.25,2020
20210118075956,01101,Alabama,Montgomery County,11.18,6.0,7.25,2021
20130530011233,01103,Alabama,Morgan County,8.27,5.21,7.25,2013
20150910081708,01103,Alabama,Morgan County,9.63,5.0,7.25,2015
20160311155529,01103,Alabama,Morgan County,9.63,5.0,7.25,2016
